,label1,centroid0,centroid1,area,minoraxislength,majoraxislength,eccentricity,minintensity,maxintensity,meanintensity,feretdiametermax,bbox01,bbox11,bbox21,bbox31,meanintensityfrangi,minintensityfrangi,maxintensityfrangi,type,lblpred1,label2,lblpred2,bbox02,bbox12,bbox22,bbox32,lblpred,plate,well,ImageNumber
0,3,784.7830578512396,4258.51652892562,484,23.7980266359057,27.51115186183285,0.5017166970486279,4246,9120,7124.5950413223145,30.52867504494749,773,4247,797,4274,0.012394406019124,0,0,RES,N,1.0,P,773.0,4247.0,817.0,4274.0,P,F2,1,2
1,5,804.4914285714286,4262.888571428572,350,19.428978081735806,24.730446295300364,0.6186967417122331,3154,8335,6439.365714285715,25.238858928247925,794,4251,817,4274,0.0257110351613891,0,0,RES,N,1.0,P,773.0,4247.0,817.0,4274.0,N,F2,1,2
2,6,910.3010845986984,2284.5266811279826,2305,35.772002318101144,195.0987482067471,0.9830470801158516,2228,9986,6633.38568329718,159.90622251807463,876,2192,926,2351,0.0200022488530613,0,0,RES,N,2.0,N,876.0,2192.0,926.0,2351.0,N,F2,1,2
3,7,1038.6550169109355,4631.330326944758,887,27.87415551440241,43.42318555882145,0.7667726926354972,3363,8996,6418.273957158963,42.5440947723653,1023,4611,1053,4653,0.016915371408246,0,0,RES,P,3.0,P,1023.0,4611.0,1053.0,4653.0,P,F2,1,2
4,8,1079.031914893617,4495.196808510638,376,18.040144518915486,26.96810808083494,0.743313123647057,3512,9314,6891.313829787234,27.29468812791236,1068,4483,1090,4507,0.0173603452087662,0,0,RES,N,4.0,N,1068.0,4483.0,1090.0,4507.0,N,F2,1,2
5,9,1126.295629820051,4550.143958868895,389,17.12701248177673,29.659416824870625,0.8164217056240335,2984,8839,6799.115681233933,30.0,1114,4538,1138,4562,0.017328255835226,0,0,RES,N,5.0,N,1114.0,4538.0,1138.0,4562.0,N,F2,1,2
6,10,1145.5716510903426,4044.700934579439,642,20.6591336258458,40.17421296788356,0.8576471278355362,2291,8663,5861.434579439252,41.04875150354759,1130,4027,1160,4061,0.0413228830990517,0,0,RES,N,6.0,N,1130.0,4027.0,1160.0,4061.0,N,F2,1,2
7,11,1179.825136612022,4128.172131147541,366,21.21610903687476,23.47922638611849,0.4283520543732312,3093,9273,6567.882513661202,28.284271247461906,1169,4113,1193,4141,0.0176258836785958,0,0,RES,N,7.0,N,1169.0,4113.0,1193.0,4141.0,N,F2,1,2
8,13,1192.3464419475656,4799.288389513109,534,21.00904825184529,34.7633778351355,0.7967232904423339,1881,8708,5489.576779026217,34.132096331752024,1176,4787,1210,4812,0.0182740709150007,0,0,RES,N,8.0,P,1176.0,4759.0,1224.0,4812.0,P,F2,1,2
9,14,1187.0568181818182,4209.166666666667,264,16.471437423753155,20.95916412811557,0.6183760280825157,3939,9040,6952.753787878788,21.95449840010015,1178,4200,1197,4220,0.0075187201810447,0,0,RES,N,9.0,N,1178.0,4200.0,1197.0,4220.0,N,F2,1,2
10,16,1204.1981020166074,4776.730723606169,843,28.402907807776497,41.14366433119703,0.7234899530854005,899,8584,4544.517200474495,48.373546489791295,1182,4759,1224,4795,0.0796921466558524,0,0,RES,P,8.0,P,1176.0,4759.0,1224.0,4812.0,N,F2,1,2
11,17,1206.845283018868,4471.473584905661,530,19.23840783304029,35.64408538847613,0.8418341250511383,2426,8539,6085.762264150943,36.23534186398688,1194,4455,1219,4487,0.0377693679110269,0,0,RES,N,10.0,N,1194.0,4455.0,1219.0,4487.0,N,F2,1,2
12,18,1208.1461318051577,4696.510028653295,349,19.01755630753239,23.76956323043188,0.5998930852043436,1975,8916,5510.464183381089,26.419689627245813,1197,4688,1221,4707,0.0446139677037459,0,0,RES,N,11.0,N,1197.0,4676.0,1221.0,4707.0,N,F2,1,2
13,19,1217.582746478873,4730.144366197183,568,23.000525387785142,38.67521494765205,0.8039405298464004,3972,8109,6596.265845070423,40.311288741492746,1203,4716,1231,4752,0.0050196573273874,0,0,RES,N,12.0,N,1203.0,4685.0,1314.0,4760.0,N,F2,1,2
14,20,1213.5121951219512,4682.573170731707,164,13.327858601971332,16.908278988465145,0.615362124578761,2861,7641,6372.34756097561,18.867962264113206,1204,4676,1221,4689,0.024792861561471,0,0,RES,N,11.0,N,1197.0,4676.0,1221.0,4707.0,N,F2,1,2
15,23,1218.3193277310925,4752.235294117647,119,9.79780998597128,16.776530323255763,0.8117400939266578,2833,8222,6002.64705882353,17.26267650163207,1210,4747,1227,4757,0.0286924533931021,0,0,RES,N,12.0,N,1203.0,4685.0,1314.0,4760.0,N,F2,1,2
16,25,1240.8611987381703,4638.542586750788,317,17.68522214636408,25.12190593742265,0.7102236316228161,3162,8757,6578.753943217665,26.92582403567252,1228,4627,1250,4652,0.0154691710137849,0,0,RES,N,13.0,N,1228.0,4627.0,1250.0,4652.0,N,F2,1,2
17,26,1237.4681647940074,4750.696629213483,267,17.335608403994648,20.451713092718364,0.5305781762831363,2607,8531,6388.6441947565545,22.80350850198276,1228,4742,1247,4760,0.0104397076816419,0,0,RES,N,12.0,N,1203.0,4685.0,1314.0,4760.0,N,F2,1,2
18,27,1249.8547368421052,2550.185263157895,950,25.07162917250322,48.78602364568423,0.857844060811069,5423,10569,8385.93052631579,49.04079934095692,1236,2527,1265,2574,0.0120901687436122,0,0,RES,P,14.0,P,1236.0,2527.0,1265.0,2574.0,P,F2,1,2
19,28,1252.2692828146144,4739.240866035183,739,28.578005120899377,37.10121402468672,0.6377161803211244,4258,8147,6791.47902571042,41.10960958218893,1231,4726,1270,4758,0.0055060127660393,0,0,RES,P,12.0,N,1203.0,4685.0,1314.0,4760.0,P,F2,1,2
20,29,1264.1266968325792,4705.640271493213,884,27.619276895488344,44.12228279004387,0.779846200708549,3099,8577,6112.701357466063,44.27188724235731,1248,4686,1279,4728,0.0131779365540734,0,0,RES,P,12.0,N,1203.0,4685.0,1314.0,4760.0,P,F2,1,2
21,30,1299.297597042514,4849.053604436229,1082,26.696461908552937,73.20481527810675,0.9311322159804076,2987,9215,7146.451940850277,65.5133574166368,1269,4826,1327,4868,0.005646273814163,0,0,RES,P,15.0,P,1269.0,4826.0,1327.0,4868.0,P,F2,1,2
22,31,1279.9322289156626,4732.1626506024095,664,21.26450395070446,41.3853330089789,0.8578995779034111,2703,8693,6613.450301204819,43.41658669218482,1269,4709,1292,4752,0.0055347584234466,0,0,RES,N,12.0,N,1203.0,4685.0,1314.0,4760.0,N,F2,1,2
23,32,1297.7896825396826,4705.098214285715,1008,31.38838033589013,43.24811639483326,0.6879326752197146,3097,8364,6768.464285714285,45.5411901469428,1280,4685,1314,4728,0.0078794221169103,0,0,RES,P,,,,,,,,F2,1,2
24,34,1315.8065296251511,4760.165659008464,827,25.332306194895253,44.80761517952508,0.824846214963979,1287,9305,5421.425634824667,47.88527957525152,1295,4739,1331,4781,0.0688631655421428,0,0,RES,P,16.0,P,1295.0,4739.0,1331.0,4781.0,P,F2,1,2
25,35,1311.4878048780488,4669.580487804878,410,16.926945281992243,31.259836361463652,0.8407060263908349,2505,8647,6608.068292682927,32.64965543462902,1301,4655,1322,4684,0.0175696715979474,0,0,RES,N,17.0,N,1301.0,4655.0,1322.0,4684.0,N,F2,1,2
26,36,1312.7421686746989,2141.633734939759,415,19.149785544332463,28.772200743794414,0.7463394012235197,2796,10337,7694.612048192771,29.42787793912432,1303,2129,1324,2158,0.0161969537089248,0,0,RES,N,18.0,N,1303.0,2101.0,1378.0,2159.0,N,F2,1,2
27,37,1320.9565217391305,4304.177018633541,644,25.879230690286903,31.77474507693657,0.580220952134753,2864,9278,6495.066770186336,32.7566787083184,1308,4289,1335,4321,0.0088073218747666,0,0,RES,N,19.0,N,1308.0,4289.0,1335.0,4321.0,N,F2,1,2
28,38,1333.3701578192251,2145.1434720229554,697,28.81642224085917,32.28511919684239,0.4509276525896997,4385,10382,7723.96843615495,36.23534186398688,1318,2130,1350,2159,0.0158644962818823,0,0,RES,P,18.0,N,1303.0,2101.0,1378.0,2159.0,P,F2,1,2
29,39,1361.4465725806451,2123.842741935484,992,26.013337541225177,51.1524642023992,0.8610353251731037,2916,10798,7752.765120967741,51.62363799656123,1346,2101,1378,2149,0.0234288024021543,0,0,RES,P,18.0,N,1303.0,2101.0,1378.0,2159.0,P,F2,1,2
30,40,1368.37641723356,3502.1780045351475,882,24.55296995084564,47.47713489768432,0.8558926228648076,3127,9953,7602.072562358277,46.57252408878007,1356,3480,1382,3525,0.0194366985117937,0,0,RES,P,20.0,N,1356.0,3471.0,1417.0,3525.0,P,F2,1,2
31,41,1378.8288770053475,4732.165775401069,187,13.290412544055918,19.12293512843905,0.7190111191576942,3503,9059,6866.20320855615,19.6468827043885,1371,4724,1390,4739,0.0137525564481332,0,0,RES,N,21.0,N,1371.0,4715.0,1392.0,4739.0,N,F2,1,2
32,42,1385.0132450331123,4722.529801324504,151,13.199192563762296,14.85791628562555,0.4591457611908992,4299,8059,7035.35761589404,15.811388300841896,1378,4715,1392,4730,0.0124168267562021,0,0,RES,N,21.0,N,1371.0,4715.0,1392.0,4739.0,N,F2,1,2
33,43,1396.778409090909,3488.475,880,25.22468165092265,45.99596597553778,0.8362091020318914,3653,10233,7789.147727272727,44.40720662234904,1379,3471,1417,3508,0.0120470616334827,0,0,RES,P,20.0,N,1356.0,3471.0,1417.0,3525.0,P,F2,1,2
34,44,1428.3490304709142,3538.0526315789475,361,20.393669918933448,23.09296007435137,0.4691622466459858,4920,10348,8265.6675900277,24.35159132377184,1418,3528,1439,3551,0.0097252339396555,0,0,RES,N,22.0,N,1418.0,3528.0,1439.0,3551.0,N,F2,1,2
35,45,1464.7567567567569,4946.09009009009,111,10.769101052313369,14.230864137401346,0.6537129686264679,8111,8876,8305.288288288288,16.1245154965971,1460,4938,1470,4954,0.0,0,0,RES,N,23.0,P,1459.0,4917.0,1503.0,4954.0,P,F2,1,2
36,46,1480.9712313003452,4930.088607594937,869,26.72331738983734,42.27848127033087,0.774904393257187,4692,9124,7201.329113924051,44.7213595499958,1459,4917,1503,4946,0.0073707863812995,0,0,RES,P,23.0,P,1459.0,4917.0,1503.0,4954.0,N,F2,1,2
